coid,Country
1,Australia
2,Austria
3,Belgium
4,Canada
5,Denmark
6,Finland
7,France
8,West Germany
9,Ireland
10,Italy
11,Japan
12,Netherlands
13,New Zealand
14,Norway
15,Sweden
16,Switzerland
17,United Kingdom
18,United States
19,Greece
20,Portugal
21,Spain
